symbol,"	date",rate
  White (Non-Hispanic),1999,6.2
  White (Non-Hispanic),2000,6.6
  White (Non-Hispanic),2001,7.4
  White (Non-Hispanic),2002,9.2
  White (Non-Hispanic),2003,10.2
  White (Non-Hispanic),2004,11.0
  White (Non-Hispanic),2005,11.8
  White (Non-Hispanic),2006,13.6
  White (Non-Hispanic),2007,14.5
  White (Non-Hispanic),2008,14.8
  White (Non-Hispanic),2009,15.0
  White (Non-Hispanic),2010,15.7
  White (Non-Hispanic),2011,16.9
  White (Non-Hispanic),2012,16.8
  White (Non-Hispanic),2013,17.6
  White (Non-Hispanic),2014,19.0
  White (Non-Hispanic),2015,21.1
  White (Non-Hispanic),2016,25.3
  White (Non-Hispanic),2017,27.5
  White (Non-Hispanic),2018,25.7
  Black (Non-Hispanic),1999,7.5
  Black (Non-Hispanic),2000,7.3
  Black (Non-Hispanic),2001,7.6
  Black (Non-Hispanic),2002,8.2
  Black (Non-Hispanic),2003,8.2
  Black (Non-Hispanic),2004,8.3
  Black (Non-Hispanic),2005,9.3
  Black (Non-Hispanic),2006,10.8
  Black (Non-Hispanic),2007,9.7
  Black (Non-Hispanic),2008,8.4
  Black (Non-Hispanic),2009,8.3
  Black (Non-Hispanic),2010,8.0
  Black (Non-Hispanic),2011,8.5
  Black (Non-Hispanic),2012,8.7
  Black (Non-Hispanic),2013,9.7
  Black (Non-Hispanic),2014,10.5
  Black (Non-Hispanic),2015,12.2
  Black (Non-Hispanic),2016,17.1
  Black (Non-Hispanic),2017,20.6
  Black (Non-Hispanic),2018,21.1
  Asian or Pacific Islander (Non-Hispanic),1999,1.2
  Asian or Pacific Islander (Non-Hispanic),2000,1.0
  Asian or Pacific Islander (Non-Hispanic),2001,1.2
  Asian or Pacific Islander (Non-Hispanic),2002,1.4
  Asian or Pacific Islander (Non-Hispanic),2003,1.4
  Asian or Pacific Islander (Non-Hispanic),2004,1.5
  Asian or Pacific Islander (Non-Hispanic),2005,1.7
  Asian or Pacific Islander (Non-Hispanic),2006,1.8
  Asian or Pacific Islander (Non-Hispanic),2007,1.8
  Asian or Pacific Islander (Non-Hispanic),2008,1.7
  Asian or Pacific Islander (Non-Hispanic),2009,1.9
  Asian or Pacific Islander (Non-Hispanic),2010,1.9
  Asian or Pacific Islander (Non-Hispanic),2011,2.3
  Asian or Pacific Islander (Non-Hispanic),2012,2.2
  Asian or Pacific Islander (Non-Hispanic),2013,2.3
  Asian or Pacific Islander (Non-Hispanic),2014,2.4
  Asian or Pacific Islander (Non-Hispanic),2015,2.7
  Asian or Pacific Islander (Non-Hispanic),2016,3.1
  Asian or Pacific Islander (Non-Hispanic),2017,3.5
  Asian or Pacific Islander (Non-Hispanic),2018,3.7
  Hispanic,1999,5.4
  Hispanic,2000,4.6
  Hispanic,2001,4.5
  Hispanic,2002,5.4
  Hispanic,2003,5.6
  Hispanic,2004,5.2
  Hispanic,2005,5.8
  Hispanic,2006,6.3
  Hispanic,2007,5.9
  Hispanic,2008,5.8
  Hispanic,2009,5.8
  Hispanic,2010,5.6
  Hispanic,2011,6.1
  Hispanic,2012,6.3
  Hispanic,2013,6.7
  Hispanic,2014,6.7
  Hispanic,2015,7.7
  Hispanic,2016,9.5
  Hispanic,2017,10.6
  Hispanic,2018,11.0
  American Indian or Alaska Native (Non-Hispanic),1999,6.0
  American Indian or Alaska Native (Non-Hispanic),2000,5.5
  American Indian or Alaska Native (Non-Hispanic),2001,6.9
  American Indian or Alaska Native (Non-Hispanic),2002,8.5
  American Indian or Alaska Native (Non-Hispanic),2003,10.8
  American Indian or Alaska Native (Non-Hispanic),2004,12.5
  American Indian or Alaska Native (Non-Hispanic),2005,13.1
  American Indian or Alaska Native (Non-Hispanic),2006,14.1
  American Indian or Alaska Native (Non-Hispanic),2007,14.2
  American Indian or Alaska Native (Non-Hispanic),2008,15.8
  American Indian or Alaska Native (Non-Hispanic),2009,17.7
  American Indian or Alaska Native (Non-Hispanic),2010,16.8
  American Indian or Alaska Native (Non-Hispanic),2011,18.2
  American Indian or Alaska Native (Non-Hispanic),2012,18.9
  American Indian or Alaska Native (Non-Hispanic),2013,18.7
  American Indian or Alaska Native (Non-Hispanic),2014,20.9
  American Indian or Alaska Native (Non-Hispanic),2015,21.2
  American Indian or Alaska Native (Non-Hispanic),2016,24.2
  American Indian or Alaska Native (Non-Hispanic),2017,25.7
  American Indian or Alaska Native (Non-Hispanic),2018,27.0
TOTAL,1999,6.1
TOTAL,2000,6.2
TOTAL,2001,6.8
TOTAL,2002,8.2
TOTAL,2003,8.9
TOTAL,2004,9.4
TOTAL,2005,10.1
TOTAL,2006,11.5
TOTAL,2007,11.9
TOTAL,2008,11.9
TOTAL,2009,11.9
TOTAL,2010,12.3
TOTAL,2011,13.2
TOTAL,2012,13.1
TOTAL,2013,13.8
TOTAL,2014,14.7
TOTAL,2015,16.3
TOTAL,2016,19.8
TOTAL,2017,21.7
TOTAL,2018,20.7