State,suicideRate
Montana,28.9
Alaska,27
Wyoming,26.9
New Mexico,23.3
Idaho,23.2
Utah,22.7
South Dakota,22.5
West Virginia,21.1
Arkansas,20.8
Nevada,20.3
Colorado,20.3
North Dakota,20.1
Oklahoma,19.1
Kansas,19.1
Oregon,19
New Hampshire,18.9
Maine,18.9
Missouri,18.5
Vermont,18.3
Arizona,18.2
Washington,16.9
Kentucky,16.9
Tennessee,16.8
Alabama,16.6
South Carolina,16.3
Indiana,16.3
Wisconsin,15.4
Louisiana,15.2
Hawaii,15.2
Pennsylvania,15
Mississippi,15
Iowa,15
Ohio,14.8
Nebraska,14.7
North Carolina,14.3
Michigan,14.1
Florida,14
Minnesota,13.8
Georgia,13.6
Virginia,13.4
Texas,13.4
Rhode Island,11.8
Delaware,11.6
Illinois,11.2
Connecticut,10.5
California,10.5
Maryland,9.8
Massachusetts,9.5
New Jersey,8.3
New York,8.1